Pais,Año,sum,count,mean,min,max
mexico,2015,9791.0,156,62.76282,5.0,222.0
mexico,2016,5323.0,109,48.83486,1.0,219.0
mexico,2017,5790.0,171,33.85965,2.0,177.0
mexico,2018,8036.0,210,38.26667,1.0,195.0
mexico,2019,6901.0,166,41.57229,1.0,225.0
mexico,2020,2405.5,84,28.6369,1.0,182.0
mexico,2021,30.0,1,30.0,30.0,30.0
panama,2010,495.3,17,29.13529,3.1,54.0
panama,2011,694.0,23,30.17391,10.0,57.0
panama,2012,385.0,14,27.5,4.0,64.0
panama,2013,67.0,3,22.33333,15.0,28.0
panama,2014,355.0,18,19.72222,10.0,46.0
panama,2015,504.2,22,22.91818,0.6,65.0
panama,2016,686.0,37,18.54054,2.0,52.0
panama,2017,227.0,15,15.13333,5.0,56.0
panama,2018,846.0,50,16.92,3.0,54.0
panama,2019,248.0,15,16.53333,4.0,41.0
panama,2020,195.0,11,17.72727,5.0,50.0
paraguay,2011,1699.0,3,566.33333,532.0,604.0
paraguay,2012,2120.0,4,530.0,459.0,574.0
paraguay,2014,2315.0,5,463.0,4.0,645.0
paraguay,2015,1756.0,4,439.0,15.0,602.0
paraguay,2016,3402.0,6,567.0,561.0,576.0
paraguay,2017,594.0,1,594.0,594.0,594.0
paraguay,2018,598.0,1,598.0,598.0,598.0
paraguay,2019,760.0,2,380.0,10.0,750.0
paraguay,2020,1208.0,4,302.0,10.0,589.0
peru,2010,12485.7,145,86.10828,1.0,622.0
peru,2011,11953.5,160,74.70937,1.5,540.0
peru,2012,4937.4,74,66.72162,6.0,202.0
peru,2013,3108.0,43,72.27907,9.0,210.0
peru,2014,8348.0,107,78.01869,1.0,572.0
peru,2015,14076.0,123,114.43902,1.0,679.0
peru,2016,6604.0,94,70.25532,10.0,195.0
peru,2017,9219.0,152,60.65132,1.0,215.0
peru,2018,9825.4,131,75.00305,3.0,642.0
peru,2019,12421.0,163,76.20245,1.0,578.0
peru,2020,4994.7,87,57.41034,2.0,188.0
