Pais,0
argentina,1113
bolivia,1837
brazil,975
chile,1024
colombia,1135
costarica,491
dominican-republic,183
ecuador,579
guatemala,1344
mexico,1590
panama,225
paraguay,30
peru,1279
puertorico,113
venezuela,589
